0001156	true	двучерупчести мекотели, бодлокожи, главоноги, ракообразни, мантийни и морски коремоноги – охладени	двучерупчести мекотели, бодлокожи, главоноги, ракообразни, мантийни и морски коремоноги – охладени	двучерупчести мекотели, бодлокожи, главоноги, ракообразни, мантийни и морски коремоноги – охладени	двучерупчести мекотели, бодлокожи, главоноги, ракообразни, мантийни и морски коремоноги – охладени	0001139
0001157	true	двучерупчести мекотели, бодлокожи, главоноги, ракообразни, мантийни и морски коремоноги – замразени	двучерупчести мекотели, бодлокожи, главоноги, ракообразни, мантийни и морски коремоноги – замразени	двучерупчести мекотели, бодлокожи, главоноги, ракообразни, мантийни и морски коремоноги – замразени	двучерупчести мекотели, бодлокожи, главоноги, ракообразни, мантийни и морски коремоноги – замразени	0001139
0001158	true	рибно масло	рибно масло	рибно масло	рибно масло	0001139
0001159	true	рибни продукти, различни от изброените	рибни продукти, различни от изброените	рибни продукти, различни от изброените	рибни продукти, различни от изброените	0001139
0001160	true	5. Група Д – "яйца и яйчни продукти"	5. Група Д – "яйца и яйчни продукти"	5. Група Д – "яйца и яйчни продукти"	5. Група Д – "яйца и яйчни продукти"	0001000
0001161	true	яйца – за консумация	яйца – за консумация	яйца – за консумация	яйца – за консумация	0001160
0001162	true	яйчни продукти	яйчни продукти	яйчни продукти	яйчни продукти	0001160
0001163	true	яйца – за преработка	яйца – за преработка	яйца – за преработка	яйца – за преработка	0001160
0001164	true	6. Група Е - "масла и мазнини"	6. Група Е - "масла и мазнини"	6. Група Е - "масла и мазнини"	6. Група Е - "масла и мазнини"	0001000
0001165	true	мазнини от животински произход	мазнини от животински произход	мазнини от животински произход	мазнини от животински произход	0001164
0001166	true	растителни масла - нехидрогенирани	растителни масла - нехидрогенирани	растителни масла - нехидрогенирани	растителни масла - нехидрогенирани	0001164
0001167	true	растителни масла - хидрогенирани	растителни масла - хидрогенирани	растителни масла - хидрогенирани	растителни масла - хидрогенирани	0001164
0001168	true	масла и мазнини, различни от изброените	масла и мазнини, различни от изброените	масла и мазнини, различни от изброените	масла и мазнини, различни от изброените	0001164
0001169	true	7. Група Ж – "зърнено-житни храни и храни на зърнено-житна основа"	7. Група Ж – "зърнено-житни храни и храни на зърнено-житна основа"	7. Група Ж – "зърнено-житни храни и храни на зърнено-житна основа"	7. Група Ж – "зърнено-житни храни и храни на зърнено-житна основа"	0001000
